Iraw[0;1] R It 
0.87516 0.69270 27.74472
0.87481 0.69295 28.24322
0.87440 0.69322 28.74623
0.87366 0.69350 29.25521
0.87297 0.69376 29.74901
0.87282 0.69406 30.26129
0.87215 0.69432 30.74589
0.87143 0.69461 31.24698
0.87099 0.69490 31.75158
0.87011 0.69519 32.25237
0.86956 0.69549 32.74901
0.86920 0.69579 33.25359
0.86842 0.69609 33.73525
0.86777 0.69641 34.24845
0.86704 0.69672 34.74816
0.86624 0.69704 35.24896
0.86556 0.69736 35.73947
0.86464 0.69769 36.24946
0.86401 0.69803 36.75283
0.86371 0.69837 37.24872
0.86305 0.69872 37.75360
0.86211 0.69906 38.25154
0.86196 0.69941 38.74488
0.86050 0.69976 39.24667
0.86047 0.70013 39.74735
0.85931 0.70050 40.25706
0.85911 0.70086 40.74704
0.85843 0.70123 41.25108
0.85730 0.70160 41.74061
0.85681 0.70199 42.25136
0.85548 0.70237 42.74864
0.85524 0.70277 43.26211
0.85433 0.70315 43.75465
0.85375 0.70354 44.24713
0.85278 0.70394 44.75577
0.85169 0.70434 45.24403
0.85066 0.70475 45.74369
0.85006 0.70516 46.25299
0.84922 0.70558 46.75189
0.84851 0.70599 47.24658
0.84776 0.70641 47.74951
0.84681 0.70684 48.24658
0.84615 0.70727 48.75345
0.84501 0.70768 49.22923
0.84458 0.70813 49.74510
0.84359 0.70859 50.26145
0.84234 0.70902 50.75210
0.84146 0.70947 51.25089
0.84024 0.70992 51.75252
0.83933 0.71036 52.24815
0.83874 0.71081 52.74294
0.83739 0.71127 53.25005
0.83662 0.71174 53.75380
0.83513 0.71220 54.25296
0.83368 0.71266 54.74554
0.83236 0.71314 55.25857
0.83147 0.71360 55.74707
0.83004 0.71408 56.24688
0.82835 0.71455 56.74299
0.82714 0.71504 57.25753
0.82550 0.71551 57.74624
0.82388 0.71599 58.24087
0.82210 0.71649 58.75342
0.82063 0.71697 59.24147
0.81938 0.71748 59.75039
0.81771 0.71799 60.26005
0.81619 0.71847 60.73921
0.81423 0.71898 61.25211
0.81275 0.71948 61.73954
0.81027 0.72000 62.25002
0.80889 0.72051 62.73989
0.80725 0.72105 63.26000
0.80583 0.72155 63.74349
0.80425 0.72209 64.25824
0.80208 0.72261 64.74863
0.80110 0.72314 65.25431
0.79875 0.72366 65.74176
0.79707 0.72420 66.24464
0.79482 0.72474 66.74864
0.79342 0.72528 67.25205
0.79280 0.72582 67.75186
0.78916 0.72635 68.23300
0.78734 0.72693 68.76542
0.78639 0.72747 69.26281
0.78375 0.72801 69.74868
0.78168 0.72856 70.25044
0.78007 0.72910 70.74012
0.77823 0.72966 71.24298
0.77543 0.73020 71.72642
0.77220 0.73078 72.24492
0.77092 0.73134 72.74056
0.76817 0.73191 73.24864
0.76675 0.73245 73.72572
0.76456 0.73304 74.24270
0.76322 0.73363 74.75975
0.76071 0.73417 75.23591
0.76268 0.73474 75.73046
0.76036 0.73535 76.26341
0.75869 0.73590 76.73730
0.76188 0.73649 77.24491
0.75666 0.73708 77.75721
0.75994 0.73762 78.22279
0.75970 0.73822 78.73334
0.91961 0.79829 0.80867
0.91626 0.79850 1.31864
0.91675 0.79850 1.56848
0.92131 0.79857 2.33775
0.91968 0.79856 2.70197
0.92141 0.79865 3.79240
0.91937 0.79869 4.33576
0.91879 0.79871 4.73019
0.92013 0.79879 5.29872
0.91968 0.79885 5.82837
0.92059 0.79891 6.30133
0.92020 0.79896 6.72634
0.91991 0.79905 7.29603
0.91958 0.79912 7.79034
0.91984 0.79920 8.27222
0.91947 0.79928 8.73235
0.91991 0.79939 9.29988
0.91970 0.79948 9.76143
0.91924 0.79957 10.25016
0.91939 0.79969 10.78412
0.91900 0.79979 11.26822
0.91940 0.79991 11.74390
0.91849 0.80003 12.26022
0.91752 0.80015 12.77603
0.91762 0.80027 13.25992
0.91751 0.80041 13.75113
0.91591 0.80053 14.23939
0.91610 0.80068 14.76142
0.91578 0.80082 15.23023
0.91486 0.80098 15.74677
0.91488 0.80114 16.27129
0.91473 0.80130 16.74343
0.91402 0.80147 17.25386
0.91371 0.80163 17.74813
0.91314 0.80181 18.25446
0.91268 0.80198 18.73756
0.91210 0.80217 19.27238
0.91120 0.80235 19.75660
0.91122 0.80255 20.25553
0.91072 0.80275 20.75718
0.91013 0.80294 21.24802
0.90954 0.80316 21.76503
0.90919 0.80336 22.23604
0.90878 0.80359 22.75753
0.90868 0.80380 23.24041
0.90789 0.80403 23.75068
0.90747 0.80425 24.24831
0.90710 0.80449 24.74294
0.90660 0.80473 25.25646
0.90611 0.80497 25.73930
0.90574 0.80522 26.25802
0.90498 0.80546 26.74327
0.90453 0.80572 27.24341
0.90393 0.80598 27.74825
0.90366 0.80625 28.25438
0.90271 0.80651 28.74752
0.90241 0.80678 29.23275
0.90185 0.80707 29.75191
0.90139 0.80734 30.24586
