A B C D E F G H I J K L M 
0.40435 -0.01722 0.00158 -0.80481 0.19352 -0.00741 0.67141 -0.11615 0.00413 18.05227 18.55565 0.15000 1
1.75221 -0.03881 -0.00115 -0.81675 -0.07817 0.00721 0.70335 0.03352 -0.00400 18.55565 19.04481 0.15000 1
1.60930 -0.18919 0.00713 -0.55553 0.29245 -0.01294 0.79317 -0.21540 0.00881 19.04481 19.53659 0.15000 1
2.82184 -0.12554 0.00072 -0.57284 -0.15081 0.00974 0.64069 0.06452 -0.00508 19.53659 20.03146 0.15000 1
2.23936 -0.24495 0.00811 -0.45987 0.24390 -0.01021 0.38353 -0.13554 0.00552 20.03146 20.54680 0.15000 1
3.36605 -0.23389 0.00492 -0.54772 0.01699 0.00101 0.55102 -0.02508 -0.00023 20.54680 21.04922 0.15000 1
3.29731 -0.24205 0.00546 -0.38667 0.04742 -0.00080 0.45349 -0.04759 0.00105 21.04922 21.55740 0.15000 1
3.30225 -0.24310 0.00550 -0.45539 0.04866 -0.00070 0.33366 -0.02562 0.00029 21.55740 22.05370 0.15000 1
3.22592 -0.22239 0.00472 -0.42407 0.02345 0.00038 0.59625 -0.02959 -0.00007 22.05370 22.56718 0.15000 1
3.28741 -0.28622 0.00743 -0.38081 0.20302 -0.00768 0.55056 -0.15609 0.00563 22.56718 23.05577 0.15000 1
3.43404 -0.18697 0.00286 -0.70988 -0.08434 0.00538 0.77559 0.04309 -0.00341 23.05577 23.55138 0.15000 1
3.33546 -0.21713 0.00431 -0.78911 0.08426 -0.00162 0.77824 -0.08290 0.00192 23.55138 24.05632 0.15000 1
3.33029 -0.26260 0.00621 -0.68117 0.15187 -0.00461 0.49608 -0.08340 0.00243 24.05632 24.54972 0.15000 1
3.31704 -0.18174 0.00295 -0.65086 -0.00707 0.00179 0.43047 0.00170 -0.00092 24.54972 25.05432 0.15000 1
3.24198 -0.28112 0.00704 -0.40242 0.26265 -0.00939 0.58941 -0.18892 0.00645 25.05432 25.56978 0.15000 1
3.79890 -0.12300 0.00002 -0.39252 -0.27252 0.01149 0.63236 0.14921 -0.00681 25.56978 26.05622 0.15000 1
3.07084 -0.27338 0.00687 -0.29722 0.29299 -0.01037 0.48343 -0.20996 0.00720 26.05622 26.56803 0.15000 1
4.64438 -0.26231 0.00422 -0.91540 -0.00002 0.00153 0.53335 0.00777 -0.00107 26.56803 27.06317 0.15000 1
4.65169 -0.33646 0.00691 -0.91232 0.16938 -0.00463 0.58308 -0.09867 0.00273 27.06317 27.57649 0.15000 1
4.66552 -0.34166 0.00710 -0.92134 0.24354 -0.00734 0.55855 -0.15575 0.00486 27.57649 28.07285 0.15000 1
6.84648 -0.33850 0.00423 -1.95219 -0.11130 0.00658 0.64694 0.11969 -0.00506 28.07285 28.57182 0.15000 1
6.62467 -0.46365 0.00887 -2.27882 0.25582 -0.00585 0.93293 -0.09600 0.00213 28.57182 29.07285 0.15000 1
7.08606 -0.37515 0.00529 -2.49286 0.05984 0.00114 0.34808 0.02883 -0.00146 29.07285 29.57752 0.15000 1
6.78810 -0.44325 0.00791 -2.43346 0.26314 -0.00576 0.34993 -0.08280 0.00228 29.57752 30.07155 0.15000 1
6.89442 -0.45052 0.00804 -2.48855 0.28993 -0.00658 0.45518 -0.10762 0.00298 30.07155 30.59111 0.15000 1
7.15537 -0.45722 0.00797 -2.52302 0.26074 -0.00557 0.44728 -0.07999 0.00207 30.59111 31.07985 0.15000 1
