I R cos(alpha)
0.71313 30.63234 0.38398
0.70549 30.63635 0.32613
0.80542 31.07840 0.99990
0.80396 31.07912 0.98952
0.80412 31.08018 0.97422
0.80037 31.08171 0.95214
0.79677 31.08357 0.92537
0.79430 31.08604 0.88975
0.78757 31.08949 0.84010
0.78088 31.09277 0.79277
0.77295 31.09694 0.73272
0.76245 31.10184 0.66213
0.75090 31.10553 0.60896
0.73968 31.11040 0.53872
0.72611 31.11587 0.45974
0.80591 31.58907 0.99990
0.80908 31.58991 0.98779
0.80479 31.59084 0.97436
0.80089 31.59236 0.95260
0.79810 31.59444 0.92251
0.79179 31.59686 0.88750
0.78603 31.60029 0.83813
0.78345 31.60373 0.78860
0.77304 31.60728 0.73751
0.76503 31.61131 0.67936
0.75419 31.61576 0.61525
0.73841 31.62118 0.53716
0.73343 31.62522 0.47897
0.70825 31.63074 0.39935
0.70646 31.64347 0.21620
0.80249 32.09251 1.00000
0.80786 32.09330 0.98867
0.80383 32.09399 0.97867
0.80412 32.09557 0.95589
0.79824 32.09828 0.91695
0.79525 32.10020 0.88926
0.78833 32.10415 0.83235
0.78412 32.10616 0.80343
0.77596 32.11121 0.73057
0.77121 32.11499 0.67613
0.75343 32.12020 0.60108
0.74667 32.12439 0.54067
0.74308 32.12885 0.47638
0.81030 32.60258 1.00000
0.80542 32.60345 0.98741
0.80713 32.60398 0.97981
0.80322 32.60587 0.95253
0.79942 32.60778 0.92507
0.79398 32.61061 0.88429
0.78856 32.61329 0.84566
0.78276 32.61694 0.79304
0.77437 32.62111 0.73292
0.76656 32.62539 0.67133
0.75269 32.63000 0.60471
0.74282 32.63450 0.54003
0.73230 32.64004 0.46022
0.72461 32.65083 0.30526
0.72119 32.65766 0.20640
0.80054 33.10175 0.99990
0.80493 33.10252 0.98885
0.80249 33.10307 0.98089
0.80200 33.10515 0.95097
0.79976 33.10672 0.92838
0.79358 33.10956 0.88724
0.78815 33.11272 0.84184
0.78101 33.11613 0.79268
0.77197 33.11966 0.74183
0.76549 33.12405 0.67858
0.74705 33.12915 0.60491
0.73515 33.13380 0.53801
0.73157 33.13744 0.48591
0.80981 33.59465 1.00000
0.81226 33.59503 0.99442
0.80847 33.59665 0.97116
0.80193 33.59774 0.95537
0.79897 33.59971 0.92703
0.79370 33.60257 0.88584
0.78922 33.60546 0.84401
0.78136 33.60914 0.79105
0.77337 33.61332 0.73080
0.76583 33.61718 0.67533
0.75127 33.62181 0.60855
0.74434 33.62631 0.54363
0.73340 33.63219 0.45888
0.80469 34.10804 0.99846
0.80762 34.10931 0.98016
0.80283 34.11129 0.95160
0.79914 34.11387 0.91438
0.79397 34.11607 0.88274
0.78943 34.11855 0.84697
0.78133 34.12265 0.78785
0.77384 34.12679 0.72832
0.76460 34.13072 0.67166
0.75708 34.13467 0.61464
0.74405 34.13979 0.54107
0.73234 34.14424 0.47698
0.72144 34.15029 0.38983
0.72388 34.15439 0.33091
0.71362 34.16375 0.19620
0.80933 34.60555 0.99990
0.80705 34.60765 0.96984
0.80558 34.60900 0.95040
0.80298 34.61071 0.92577
0.79683 34.61380 0.88129
0.79309 34.61665 0.84006
0.78580 34.61980 0.79480
0.77778 34.62386 0.73620
0.77130 34.62784 0.67887
0.75814 34.63252 0.61138
0.74292 34.63778 0.53563
0.73188 34.64262 0.46597
0.72583 34.65075 0.34893
0.80688 35.11508 0.99990
0.80933 35.11586 0.98872
0.80437 35.11662 0.97787
0.80119 35.11863 0.94894
0.79785 35.12043 0.92283
0.79240 35.12267 0.89058
0.78812 35.12619 0.83983
0.78412 35.12906 0.79862
0.77305 35.13360 0.73304
0.76333 35.13747 0.67726
0.75189 35.14243 0.60595
0.74780 35.14766 0.53077
0.73560 35.15229 0.46385
0.80786 35.61806 0.99951
0.80811 35.61868 0.99058
0.80396 35.62006 0.97063
0.80165 35.62082 0.95966
0.79980 35.62281 0.93096
0.79430 35.62609 0.88376
0.78792 35.62838 0.85067
0.78198 35.63240 0.79281
0.77368 35.63649 0.73378
0.76624 35.64048 0.67625
0.75598 35.64462 0.61673
0.80802 36.10703 0.99885
0.80249 36.10781 0.98758
0.80579 36.10868 0.97500
0.79980 36.11020 0.95315
0.79675 36.11243 0.92097
0.79289 36.11553 0.87632
0.78485 36.11789 0.84226
0.78018 36.12160 0.78869
0.77325 36.12514 0.73775
0.76518 36.12947 0.67539
0.75404 36.13417 0.60767
0.74097 36.13894 0.53884
0.73690 36.14322 0.47740
0.73120 36.14827 0.40475
0.80981 36.60479 0.99990
0.80579 36.60557 0.98874
0.80225 36.60651 0.97519
0.80005 36.60819 0.95086
0.79628 36.60993 0.92581
0.79254 36.61303 0.88116
0.78578 36.61577 0.84179
0.78101 36.61963 0.78609
0.77277 36.62360 0.72892
0.76375 36.62733 0.67508
0.75122 36.63126 0.61862
0.73975 36.63699 0.53600
0.73039 36.64101 0.47810
0.72168 36.64822 0.37429
0.72144 36.65198 0.32002
0.80396 37.12569 0.99990
0.80542 37.12664 0.98627
0.80656 37.12741 0.97511
0.80672 37.12877 0.95550
0.80273 37.13107 0.92245
0.79565 37.13436 0.87502
0.79385 37.13652 0.84394
0.78481 37.13990 0.79522
0.78210 37.14411 0.73445
0.76921 37.14821 0.67552
0.76066 37.15250 0.61351
0.75155 37.15779 0.53755
0.74097 37.16173 0.48071
0.80396 37.62000 0.99990
0.80859 37.62084 0.98790
0.80566 37.62155 0.97762
0.80206 37.62336 0.95158
0.79663 37.62543 0.92164
0.79293 37.62756 0.89097
0.78711 37.63093 0.84245
0.78149 37.63362 0.80370
0.77368 37.63853 0.73296
0.76489 37.64233 0.67829
0.75149 37.64777 0.59977
0.74341 37.65117 0.55097
0.73560 37.65718 0.46457
0.73608 37.66420 0.36309
0.73853 37.67048 0.27306
0.80835 38.12432 0.99990
0.80542 38.12618 0.97330
0.80469 38.12790 0.94840
0.79972 38.12966 0.92306
0.79746 38.13223 0.88606
0.79156 38.13552 0.83863
0.78496 38.13864 0.79376
0.77911 38.14278 0.73413
0.77266 38.14649 0.68054
0.75572 38.15177 0.60459
0.74126 38.15694 0.53002
0.80493 38.61885 0.99999
0.80908 38.61929 0.99367
0.80042 38.62033 0.97868
0.80070 38.62207 0.95365
0.79651 38.62420 0.92284
0.79407 38.62650 0.88969
0.78809 38.62904 0.85312
0.78065 38.63336 0.79086
0.77601 38.63669 0.74296
0.76545 38.64097 0.68104
0.75534 38.64567 0.61354
0.74715 38.65168 0.52697
0.74634 38.65523 0.47608
0.80444 39.13402 0.99843
0.80737 39.13421 0.99568
0.80225 39.13568 0.97439
0.80200 39.13723 0.95211
0.79606 39.13952 0.91916
0.79153 39.14243 0.87715
0.78335 39.14489 0.84168
0.77922 39.14899 0.78268
0.76994 39.15313 0.72308
0.75601 39.15713 0.66547
0.74641 39.16157 0.60131
0.71851 39.16977 0.48344
0.80688 39.62574 0.99990
0.80786 39.62649 0.98918
0.80322 39.62732 0.97727
0.80078 39.62900 0.95313
0.79902 39.63092 0.92531
0.79154 39.63367 0.88572
0.78700 39.63689 0.83929
0.78041 39.63984 0.79688
0.77075 39.64388 0.73859
0.76288 39.64794 0.68021
0.75427 39.65244 0.61531
0.80591 40.12254 0.99990
0.80688 40.12442 0.97291
0.80436 40.12578 0.95327
0.79956 40.12822 0.91804
0.79607 40.13038 0.88693
0.79034 40.13318 0.84666
0.78318 40.13717 0.78916
0.77362 40.14078 0.73706
0.76533 40.14513 0.67440
0.75138 40.14921 0.61573
0.74466 40.15371 0.55095
0.73853 40.15941 0.46878
