I R cos(alpha)
0.91580 7.51342 0.92202
0.91071 7.51591 0.88582
0.90580 7.51889 0.84258
0.89963 7.52229 0.79337
0.89338 7.52611 0.73799
0.88528 7.53052 0.67413
0.87504 7.53503 0.60891
0.86274 7.53992 0.53814
0.84876 7.54514 0.46260
0.83212 7.55073 0.38182
0.81230 7.55625 0.30212
0.78578 7.56123 0.23019
0.91504 7.99925 0.99895
0.91397 7.99993 0.98916
0.91282 8.00074 0.97749
0.90877 8.00244 0.95275
0.90549 8.00438 0.92478
0.90163 8.00716 0.88446
0.89670 8.01003 0.84274
0.89082 8.01354 0.79185
0.88248 8.01730 0.73740
0.87322 8.02158 0.67552
0.86402 8.02631 0.60707
0.85295 8.03113 0.53742
0.83924 8.03619 0.46415
0.82464 8.04163 0.38558
0.80370 8.04715 0.30595
0.77012 8.05281 0.22411
0.90259 8.48682 0.99899
0.90422 8.48748 0.98944
0.90296 8.48846 0.97533
0.89983 8.48995 0.95372
0.89601 8.49206 0.92313
0.89103 8.49456 0.88683
0.88629 8.49769 0.84145
0.88017 8.50102 0.79331
0.87325 8.50487 0.73750
0.86539 8.50916 0.67540
0.85549 8.51379 0.60853
0.84435 8.51873 0.53704
0.83164 8.52397 0.46144
0.81456 8.52919 0.38591
0.79166 8.53493 0.30310
0.75351 8.54099 0.21575
0.89038 8.99646 0.99828
0.89153 8.99710 0.98909
0.89105 8.99809 0.97479
0.88808 8.99958 0.95328
0.88400 9.00170 0.92259
0.88021 9.00419 0.88641
0.87474 9.00715 0.84358
0.86817 9.01063 0.79307
0.86104 9.01454 0.73656
0.85268 9.01885 0.67422
0.84301 9.02346 0.60761
0.83110 9.02822 0.53871
0.81789 9.03337 0.46440
0.80125 9.03879 0.38608
0.78261 9.04430 0.30669
0.74695 9.05003 0.22401
0.88078 9.50733 0.99813
0.88029 9.50797 0.98891
0.87951 9.50895 0.97473
0.87597 9.51049 0.95234
0.87225 9.51254 0.92277
0.86875 9.51519 0.88436
0.86454 9.51821 0.84068
0.85803 9.52156 0.79214
0.85083 9.52542 0.73632
0.84179 9.52956 0.67637
0.83190 9.53420 0.60927
0.82041 9.53902 0.53962
0.80484 9.54423 0.46437
0.78665 9.54981 0.38382
0.76229 9.55556 0.30098
0.72425 9.56099 0.22245
0.87122 10.00457 0.99836
0.87018 10.00517 0.98984
0.86853 10.00621 0.97480
0.86585 10.00766 0.95371
0.86231 10.00973 0.92375
0.85760 10.01228 0.88686
0.85338 10.01530 0.84317
0.84782 10.01868 0.79424
0.84054 10.02256 0.73809
0.83292 10.02688 0.67572
0.82216 10.03159 0.60776
0.80990 10.03662 0.53497
0.79530 10.04168 0.46186
0.77758 10.04715 0.38288
0.75606 10.05268 0.30325
0.73344 10.05760 0.23225
0.86011 10.51266 0.99825
0.85812 10.51329 0.98909
0.85823 10.51434 0.97387
0.85518 10.51581 0.95269
0.85085 10.51779 0.92396
0.84573 10.52032 0.88729
0.84118 10.52348 0.84161
0.83535 10.52699 0.79083
0.82859 10.53079 0.73597
0.81946 10.53499 0.67515
0.80935 10.53957 0.60909
0.79653 10.54454 0.53718
0.78249 10.54976 0.46187
0.76543 10.55486 0.38825
0.74031 10.56091 0.30108
0.70647 10.56603 0.22723
0.84741 11.01352 0.99990
0.84619 11.01419 0.99033
0.84771 11.01531 0.97419
0.84587 11.01690 0.95127
0.84182 11.01889 0.92242
0.83760 11.02148 0.88502
0.83295 11.02439 0.84287
0.82793 11.02788 0.79238
0.82088 11.03172 0.73686
0.81215 11.03588 0.67673
0.80205 11.04040 0.61139
0.79046 11.04537 0.53957
0.77482 11.05057 0.46455
0.75635 11.05606 0.38522
0.73108 11.06174 0.30345
0.70739 11.06670 0.23181
0.83911 11.50349 0.99990
0.83956 11.50421 0.98960
0.83901 11.50530 0.97378
0.83447 11.50679 0.95227
0.83108 11.50883 0.92275
0.82751 11.51127 0.88754
0.82179 11.51435 0.84280
0.81547 11.51782 0.79266
0.80794 11.52160 0.73803
0.79809 11.52593 0.67542
0.78640 11.53056 0.60865
0.77325 11.53563 0.53540
0.75729 11.54081 0.46063
0.74049 11.54625 0.38222
0.70997 11.55216 0.29709
0.68622 11.55658 0.23328
0.83008 12.01095 0.99948
0.82983 12.01162 0.98987
0.82919 12.01265 0.97501
0.82643 12.01421 0.95249
0.82242 12.01622 0.92342
0.81854 12.01878 0.88633
0.81314 12.02175 0.84337
0.80621 12.02541 0.79040
0.79835 12.02920 0.73572
0.78979 12.03342 0.67465
0.77893 12.03795 0.60929
0.76664 12.04290 0.53782
0.74976 12.04820 0.46141
0.73213 12.05376 0.38111
0.70809 12.05900 0.30564
0.67534 12.06415 0.23137
0.82178 12.53392 0.99945
0.82098 12.53468 0.98858
0.82097 12.53573 0.97343
0.81770 12.53700 0.95495
0.81416 12.53932 0.92150
0.80939 12.54158 0.88882
0.80453 12.54476 0.84292
0.79798 12.54816 0.79367
0.79161 12.55208 0.73710
0.78196 12.55622 0.67723
0.77135 12.56085 0.61032
0.75813 12.56595 0.53677
