
# Surface 0 of 1 surfaces

# Curve title: "'-'"

# IsoCurve 0, 50 points
# x y z type
# IsoCurve 3, 50 points
# x y z type
 37.7626  0.183129  0.708502 i
 37.7626  0.199799  0.710363 i
 37.7626  0.21647  0.712209 i
 37.7626  0.233141  0.714037 i
 37.7626  0.249812  0.715846 i
 37.7626  0.266483  0.717637 i
 37.7626  0.283153  0.719409 i
 37.7626  0.299824  0.721167 i
 37.7626  0.316495  0.722914 i
 37.7626  0.333166  0.724659 i
 37.7626  0.349837  0.726406 i
 37.7626  0.366508  0.728161 i
 37.7626  0.383178  0.72993 i
 37.7626  0.399849  0.731715 i
 37.7626  0.41652  0.733518 i
 37.7626  0.433191  0.73534 i
 37.7626  0.449862  0.737181 i
 37.7626  0.466533  0.739043 i
 37.7626  0.483203  0.740925 i
 37.7626  0.499874  0.742827 i
 37.7626  0.516545  0.74475 i
 37.7626  0.533216  0.746693 i
 37.7626  0.549887  0.748657 i
 37.7626  0.566557  0.750643 i
 37.7626  0.583228  0.752649 i
 37.7626  0.599899  0.754677 i
 37.7626  0.61657  0.756727 i
 37.7626  0.633241  0.758798 i
 37.7626  0.649912  0.760891 i
 37.7626  0.666582  0.763005 i
 37.7626  0.683253  0.765141 i
 37.7626  0.699924  0.7673 i
 37.7626  0.716595  0.769479 i
 37.7626  0.733266  0.771681 i
 37.7626  0.749937  0.773905 i
 37.7626  0.766607  0.77615 i
 37.7626  0.783278  0.778416 i
 37.7626  0.799949  0.780704 i
 37.7626  0.81662  0.783013 i
 37.7626  0.833291  0.785342 i
 37.7626  0.849962  0.787691 i
 37.7626  0.866632  0.79006 i
 37.7626  0.883303  0.792447 i
 37.7626  0.899974  0.794852 i
 37.7626  0.916645  0.797274 i
 37.7626  0.933316  0.79971 i
 37.7626  0.949986  0.802159 i
 37.7626  0.966657  0.80462 i
 37.7626  0.983328  0.80709 i
 37.7626  0.999999  0.809566 i

# IsoCurve 4, 50 points
# x y z type
 36.9636  0.183129  0.706441 i
 36.9636  0.199799  0.708322 i
 36.9636  0.21647  0.710201 i
 36.9636  0.233141  0.712076 i
 36.9636  0.249812  0.713949 i
 36.9636  0.266483  0.715821 i
 36.9636  0.283153  0.717692 i
 36.9636  0.299824  0.719562 i
 36.9636  0.316495  0.721434 i
 36.9636  0.333166  0.723307 i
 36.9636  0.349837  0.725184 i
 36.9636  0.366508  0.727064 i
 36.9636  0.383178  0.728949 i
 36.9636  0.399849  0.730841 i
 36.9636  0.41652  0.73274 i
 36.9636  0.433191  0.734648 i
 36.9636  0.449862  0.736566 i
 36.9636  0.466533  0.738495 i
 36.9636  0.483203  0.740437 i
 36.9636  0.499874  0.742392 i
 36.9636  0.516545  0.744362 i
 36.9636  0.533216  0.746347 i
 36.9636  0.549887  0.748349 i
 36.9636  0.566557  0.750368 i
 36.9636  0.583228  0.752406 i
 36.9636  0.599899  0.754462 i
 36.9636  0.61657  0.756538 i
 36.9636  0.633241  0.758634 i
 36.9636  0.649912  0.760749 i
 36.9636  0.666582  0.762885 i
 36.9636  0.683253  0.765041 i
 36.9636  0.699924  0.767218 i
 36.9636  0.716595  0.769416 i
 36.9636  0.733266  0.771634 i
 36.9636  0.749937  0.773873 i
 36.9636  0.766607  0.776132 i
 36.9636  0.783278  0.778411 i
 36.9636  0.799949  0.78071 i
 36.9636  0.81662  0.783029 i
 36.9636  0.833291  0.785367 i
 36.9636  0.849962  0.787724 i
 36.9636  0.866632  0.790098 i
 36.9636  0.883303  0.792489 i
 36.9636  0.899974  0.794896 i
 36.9636  0.916645  0.797318 i
 36.9636  0.933316  0.799753 i
 36.9636  0.949986  0.8022 i
 36.9636  0.966657  0.804658 i
 36.9636  0.983328  0.807123 i
 36.9636  0.999999  0.809595 i

# IsoCurve 5, 50 points
# x y z type
 36.1647  0.183129  0.704822 i
 36.1647  0.199799  0.70679 i
 36.1647  0.21647  0.708757 i
 36.1647  0.233141  0.710722 i
 36.1647  0.249812  0.712686 i
 36.1647  0.266483  0.714648 i
 36.1647  0.283153  0.71661 i
 36.1647  0.299824  0.71857 i
 36.1647  0.316495  0.720529 i
 36.1647  0.333166  0.722486 i
 36.1647  0.349837  0.724441 i
 36.1647  0.366508  0.726393 i
 36.1647  0.383178  0.728339 i
 36.1647  0.399849  0.730277 i
 36.1647  0.41652  0.732199 i
 36.1647  0.433191  0.734112 i
 36.1647  0.449862  0.736027 i
 36.1647  0.466533  0.737952 i
 36.1647  0.483203  0.739898 i
 36.1647  0.499874  0.741867 i
 36.1647  0.516545  0.743858 i
 36.1647  0.533216  0.745868 i
 36.1647  0.549887  0.747897 i
 36.1647  0.566557  0.749944 i
 36.1647  0.583228  0.752009 i
 36.1647  0.599899  0.754092 i
 36.1647  0.61657  0.756194 i
 36.1647  0.633241  0.758315 i
 36.1647  0.649912  0.760455 i
 36.1647  0.666582  0.762613 i
 36.1647  0.683253  0.76479 i
 36.1647  0.699924  0.766986 i
 36.1647  0.716595  0.769201 i
 36.1647  0.733266  0.771434 i
 36.1647  0.749937  0.773686 i
 36.1647  0.766607  0.775957 i
 36.1647  0.783278  0.778247 i
 36.1647  0.799949  0.780555 i
 36.1647  0.81662  0.782882 i
 36.1647  0.833291  0.785228 i
 36.1647  0.849962  0.787592 i
 36.1647  0.866632  0.789975 i
 36.1647  0.883303  0.792375 i
 36.1647  0.899974  0.794794 i
 36.1647  0.916645  0.797231 i
 36.1647  0.933316  0.799684 i
 36.1647  0.949986  0.802153 i
 36.1647  0.966657  0.804635 i
 36.1647  0.983328  0.807127 i
 36.1647  0.999999  0.809623 i

# IsoCurve 6, 50 points
# x y z type
 35.3657  0.183129  0.702645 i
 35.3657  0.199799  0.704656 i
 35.3657  0.21647  0.706667 i
 35.3657  0.233141  0.70868 i
 35.3657  0.249812  0.710694 i
 35.3657  0.266483  0.71271 i
 35.3657  0.283153  0.714727 i
 35.3657  0.299824  0.716746 i
 35.3657  0.316495  0.718767 i
 35.3657  0.333166  0.72079 i
 35.3657  0.349837  0.722816 i
 35.3657  0.366508  0.724845 i
 35.3657  0.383178  0.726877 i
 35.3657  0.399849  0.728913 i
 35.3657  0.41652  0.730953 i
 35.3657  0.433191  0.732997 i
 35.3657  0.449862  0.735047 i
 35.3657  0.466533  0.737102 i
 35.3657  0.483203  0.739165 i
 35.3657  0.499874  0.741235 i
 35.3657  0.516545  0.743313 i
 35.3657  0.533216  0.745401 i
